,firm_Score,Firm,ad_Firm_Role,Job_Location
0,3.3,Teamsystem,Data Scientist - Milano/Torino/Pesaro/Campobasso,Milano
1,1.4,VJ Technology Srl,DATA SCIENTIST,Roma
2,4.2,Newel Health,Junior Data Scientist,Remote
3,4.9,Agile Lab,Data Scientist II (Remote),Turin
4,3.8,Wind Tre S.p.A. con Socio Unico,Data Scientist Junior,Rho
5,3.5,TENOVA,Data Scientist,Castellanza
6,3.8,Merkle,Junior Data Scientist,Remote
7,4.5,i-EM,Data Scientist,Rome
8,3.5,Sferanet,Data Scientist Junior,Roma
9,5,AMA European Consulting,Data Scientist (EU Joint Research Program),Ispra
10,3.9,Merkle DACH,Junior Data Scientist,Remote
11,4.4,XNEXT,Data Scientist,Rome
12,5,Modelway,Data Scientist,Remote
13,4.2,Manpower,DATA SCIENTIST,Vercelli
14,4.3,FRONTIERE,Junior Data Scientist,Roma
15,3.1,RE COLLECTION SRL,Data Scientist,Rome
16,4,Allianz Italy,JUNIOR DATA SCIENTIST - CLAIMS,Milano
17,3.9,NTT DATA,DATA SCIENTIST SENIOR,Bari
18,4.2,Mollie,Data Scientist,Remote
19,4.1,Axpo Italia SpA,Data Scientist,Remote
20,4,Lilly,Data Scientist,Remote
21,3.6,UniCredit Bank,Data Scientist Global Protection Platform Curricular Internship,Torino
22,4,RGA,Data Scientist Intern,Remote
23,3.6,Generali Italia,Data scientist,Remote
24,4,A2A S.p.A.,MASTER DATA SCIENTIST,Rome
25,3.6,UniCredit Bank,Curricular Internship / Client Intelligence - Customer Engagement Data Scientist,Rozzano
26,3.5,Ospedale San Raffaele srl,Biostatistician/Data Scientist - Cardiothoracic and Vascular Department,Remote
27,3.9,Easy Market,Data Scientist – Internship,Rimini
28,3.4,Hitachi Energy Italy S.P.A.,Business R&D Associate Data Scientist,Monselice
29,3.3,Menarini Silicon Biosystems,SCIENTIST/CELL BIOLOGIST,Castel Maggiore
30,4,IQVIA,R&D Analytical Scientist,Remote
31,3.7,BVA Doxa,Junior Data Scientist,Oristano
32,3.4,Pizzarotti & C. S.p.A.,DATA SCIENTIST - SMART INFRASTRUCTURES,Parma
33,3.6,Aptuit,Associate Scientist,Verona
34,3.8,Merkle,Data Scientist,Remote
35,3.9,Hitachi Energy,Business R&D Associate Data Scientist,Monselice
36,4.5,Techyon,MACHINE LEARNING | BIG DATA | DATA SCIENTIST,Trieste
37,3.5,Value Partners,Data Scientist,Milano
38,5,TapMyLife Srl,Data scientist,Bergamo
39,3.5,Iper La grande i,DATA SCIENTIST - MARKETING,Remote
40,3.1,RE COLLECTION SRL,STAGE DATA SCIENTIST,Rome
41,3.8,Bruker,Application Scientist XRD/XRF (m/f/d),Remote
42,3.4,P&P Consulting,Data Scientist,Remote
43,4.4,Musixmatch,"Data Scientist, Machine Learning & AI",Bologna
44,4,A2A S.p.A.,DATA SCIENTIST,Rimini
45,4.2,NRB,Data Scientist,Ispra
46,5,Spaziodati,Machine Learning Engineer / Data Scientist,Trento
47,4.3,CGM Consulting,Data Scientist,Rome
48,3.9,InfoCamere,DATA ANALYST rif. DANA0323,Padova
49,3.5,Tesmec spa - sede di Grassobbio,Data Scientist,Grassobbio
50,3.5,Akkodis,Data Scientist,Padova
51,3.6,UniCredit Bank,Curricular Internship / Client Intelligence - Customer Engagement Data Scientist,Remote
52,2.3,LUBEA,DATA ENGINEER,Roma
53,3.6,Volksbank,Data Scientist - Risk Management (m/f/d),Remote
54,3.3,Menarini Silicon Biosystems,SCIENTIST/CELL BIOLOGIST,Castel Maggiore
