,Città,Provincia,Regione
0,Milano,Milano,Lombardy
1,Roma,Roma,Lazio
2,Turin,Torino,Piedmont
3,Rho,Milano,Lombardy
4,Castellanza,Varese,Lombardy
5,Rome,Roma,Lazio
6,Ispra,Varese,Lombardy
7,Vercelli,Vercelli,Piedmont
8,Bari,Bari,Apulia
9,Torino,Torino,Piedmont
10,Rozzano,Milano,Lombardy
11,Rimini,Rimini,Emilia-Romagna
12,Monselice,Padova,Veneto
13,Castel Maggiore,Bologna,Emilia-Romagna
14,Oristano,Oristano,Sardinia
15,Parma,Parma,Emilia-Romagna
16,Verona,Verona,Veneto
17,Trieste,Trieste,Friuli-Venezia Giulia
18,Bergamo,Bergamo,Lombardy
19,Bologna,Bologna,Emilia-Romagna
20,Trento,Trento,Trentino-Alto Adige
21,Padova,Padova,Veneto
22,Grassobbio,Bergamo,Lombardy
23,Moncalieri,Torino,Piedmont
24,Biassono,Monza - Brianza,Lombardy
25,Pomezia,Roma,Lazio
26,San Donato Milanese,Milano,Lombardy
27,Palermo,Palermo,Sicily
28,Gerenzano,Varese,Lombardy
29,Napoli,Napoli,Campania
30,Spoltore,Pescara,Abruzzo
31,Bresso,Milano,Lombardy
32,Genoa,Genova,Liguria
33,Siena,Siena,Tuscany
34,Torre Annunziata,Napoli,Campania
35,Acerra,Napoli,Campania
36,Milan,Milano,Lombardy
37,Bollate,Milano,Lombardy
38,Cremona,Cremona,Lombardy
39,Cesena,Forlì-Cesena,Emilia-Romagna
40,Lecce,Lecce,Apulia
41,Cernusco sul Naviglio,Milano,Lombardy
42,Brugine,Padova,Veneto
43,Viadana,Mantova,Lombardy
44,Oppeano,Verona,Veneto
45,Modena,Modena,Emilia-Romagna
46,Porto San Giorgio,Fermo,Marche
47,Bolzano,Sud-Tirol,Trentino-Alto Adige
48,Frascati,Roma,Lazio
49,Monza,Monza - Brianza,Lombardy
50,Rosignano,Livorno,Tuscany
51,La Spezia,La Spezia,Liguria
52,Ferentino,Frosinone,Lazio
53,Civitavecchia,Roma,Lazio
54,Agordo,Belluno,Veneto
55,Mangone,Cosenza,Calabria
56,Buttrio,Udine,Friuli-Venezia Giulia
57,Imola,Bologna,Emilia-Romagna
58,Piombino Dese,Padova,Veneto
59,Pescara,Pescara,Abruzzo
60,Mantova,Mantova,Lombardy
61,Zola Predosa,Bologna,Emilia-Romagna
62,Sesto Fiorentino,Florence,Tuscany
63,Novara,Novara,Piedmont
64,Nola,Napoli,Campania
